                            95%-CI
YE_Abbott  0.3761 [0.3243; 0.4280]
YE_Gibert  0.5151 [0.4372; 0.5931]
YE_Schmidt 0.4036 [0.3200; 0.4872]
YE_Abbott  0.3681 [0.3163; 0.4200]
YE_Gibert  0.4841 [0.4188; 0.5495]
YE_Schmidt 0.5166 [0.4414; 0.5919]
YE_Abbott  0.4121 [0.3603; 0.4640]
YE_Gibert  0.4701 [0.4048; 0.5355]
YE_Schmidt 0.4026 [0.3274; 0.4779]
YE_Abbott  0.3971 [0.3453; 0.4490]
YE_Gibert  0.4771 [0.4118; 0.5425]
YE_Schmidt 0.5286 [0.4534; 0.6039]
YE_Abbott  0.3951 [0.3433; 0.4470]
YE_Gibert  0.5571 [0.4918; 0.6225]
YE_Schmidt 0.3866 [0.3030; 0.4702]
YE_Abbott  0.3311 [0.2793; 0.3830]
YE_Gibert  0.4751 [0.3972; 0.5531]
YE_Schmidt 0.4486 [0.3734; 0.5239]
YE_Abbott  0.4231 [0.3713; 0.4750]
YE_Gibert  0.4921 [0.4232; 0.5610]
YE_Schmidt 0.6326 [0.5574; 0.7079]
YE_Abbott  0.4561 [0.4043; 0.5080]
YE_Gibert  0.5511 [0.4858; 0.6165]
YE_Schmidt 0.6116 [0.5364; 0.6869]
YE_Abbott  0.4521 [0.4003; 0.5040]
YE_Gibert  0.5731 [0.5078; 0.6385]
YE_Schmidt 0.6416 [0.5664; 0.7169]
YE_Abbott  0.3751 [0.3249; 0.4254]
YE_Gibert  0.5391 [0.4738; 0.6045]
YE_Schmidt 0.5416 [0.4614; 0.6219]
YE_Abbott  0.3401 [0.2883; 0.3920]
YE_Gibert  0.5341 [0.4670; 0.6013]
YE_Schmidt 0.5906 [0.5070; 0.6742]
YE_Abbott  0.3681 [0.3163; 0.4200]
YE_Gibert  0.5691 [0.5038; 0.6345]
YE_Schmidt 0.5496 [0.4744; 0.6249]
YE_Abbott  0.3901 [0.3383; 0.4420]
YE_Gibert  0.5301 [0.4648; 0.5955]
YE_Schmidt 0.4026 [0.3274; 0.4779]
YE_Abbott  0.3521 [0.3003; 0.4040]
YE_Gibert  0.4841 [0.4188; 0.5495]
YE_Schmidt 0.5786 [0.4984; 0.6589]
YE_Abbott  0.3981 [0.3463; 0.4500]
YE_Gibert  0.5011 [0.4358; 0.5665]
YE_Schmidt 0.3576 [0.2824; 0.4329]
YE_Abbott  0.4431 [0.3913; 0.4950]
YE_Gibert  0.5601 [0.4948; 0.6255]
YE_Schmidt 0.5636 [0.4884; 0.6389]
YE_Abbott  0.3751 [0.3233; 0.4270]
YE_Gibert  0.4821 [0.4288; 0.5355]
YE_Schmidt 0.4966 [0.4214; 0.5719]
YE_Abbott  0.3851 [0.3333; 0.4370]
YE_Gibert  0.5281 [0.4628; 0.5935]
YE_Schmidt 0.4176 [0.3340; 0.5012]
YE_Abbott  0.3551 [0.3033; 0.4070]
YE_Gibert  0.4321 [0.3668; 0.4975]
YE_Schmidt 0.4136 [0.3384; 0.4889]
YE_Abbott  0.4271 [0.3753; 0.4790]
YE_Gibert  0.5481 [0.4828; 0.6135]
YE_Schmidt 0.5676 [0.4924; 0.6429]
RE_Abbott  0.5562 [0.5040; 0.6085]
RE_Gibert  0.5020 [0.4353; 0.5686]
RE_Abbott  0.4132 [0.3594; 0.4671]
RE_Gibert  0.4900 [0.4233; 0.5566]
RE_Schmidt 0.4417 [0.3616; 0.5219]
RE_Abbott  0.4652 [0.4130; 0.5175]
RE_Gibert  0.4510 [0.3843; 0.5176]
RE_Schmidt 0.7227 [0.6426; 0.8029]
RE_Abbott  0.4212 [0.3674; 0.4751]
RE_Gibert  0.4550 [0.3883; 0.5216]
RE_Schmidt 0.6237 [0.5436; 0.7039]
RE_Abbott  0.3682 [0.3144; 0.4221]
RE_Gibert  0.3730 [0.3063; 0.4396]
RE_Schmidt 0.4647 [0.3767; 0.5528]
RE_Abbott  0.4022 [0.3484; 0.4561]
RE_Gibert  0.4460 [0.3793; 0.5126]
RE_Schmidt 0.3827 [0.3026; 0.4629]
RE_Abbott  0.4062 [0.3540; 0.4585]
RE_Gibert  0.4290 [0.3623; 0.4956]
RE_Schmidt 0.5047 [0.4246; 0.5849]
RE_Abbott  0.3932 [0.3394; 0.4471]
RE_Gibert  0.4380 [0.3713; 0.5046]
RE_Schmidt 0.5287 [0.4439; 0.6136]
RE_Abbott  0.3982 [0.3444; 0.4521]
RE_Gibert  0.4010 [0.3343; 0.4676]
RE_Schmidt 0.4847 [0.4046; 0.5649]
RE_Abbott  0.4412 [0.3890; 0.4935]
RE_Gibert  0.4570 [0.3903; 0.5236]
RE_Schmidt 0.5967 [0.5166; 0.6769]
RE_Abbott  0.3862 [0.3292; 0.4432]
RE_Gibert  0.4400 [0.3733; 0.5066]
RE_Schmidt 0.3577 [0.2665; 0.4490]
RE_Abbott  0.4672 [0.4134; 0.5211]
RE_Gibert  0.4930 [0.4263; 0.5596]
RE_Schmidt 0.3577 [0.2776; 0.4379]
RE_Abbott  0.4232 [0.3694; 0.4771]
RE_Gibert  0.4900 [0.4233; 0.5566]
RE_Schmidt 0.4077 [0.3115; 0.5040]
RE_Abbott  0.3662 [0.3124; 0.4201]
RE_Gibert  0.3770 [0.3103; 0.4436]
RE_Schmidt 0.5457 [0.4656; 0.6259]
RE_Abbott  0.4472 [0.3934; 0.5011]
RE_Gibert  0.4320 [0.3771; 0.4869]
RE_Schmidt 0.6587 [0.5786; 0.7389]
RE_Abbott  0.4002 [0.3464; 0.4541]
RE_Gibert  0.4310 [0.3643; 0.4976]
GI_Abbott  0.3933 [0.3381; 0.4485]
GI_Gibert  0.4802 [0.4130; 0.5473]
GI_Schmidt 0.3234 [0.2421; 0.4046]
GI_Abbott  0.4293 [0.3756; 0.4830]
GI_Gibert  0.5342 [0.4786; 0.5897]
GI_Schmidt 0.4804 [0.3991; 0.5616]
GI_Abbott  0.3383 [0.2831; 0.3935]
GI_Gibert  0.5382 [0.4710; 0.6053]
GI_Schmidt 0.4334 [0.3521; 0.5146]
GI_Abbott  0.3583 [0.3031; 0.4135]
GI_Gibert  0.4912 [0.4240; 0.5583]
GI_Schmidt 0.4524 [0.3711; 0.5336]
